,ID,Crop_Damage
0,F00000002,1
1,F00000011,1
2,F00000014,1
3,F00000015,1
4,F00000016,1
5,F00000019,1
6,F00000025,1
7,F00000031,1
8,F00000032,1
9,F00000033,1
10,F00000034,1
11,F00000036,1
12,F00000040,1
13,F00000041,1
14,F00000043,1
15,F00000046,1
16,F00000047,1
17,F00000051,1
18,F00000053,1
19,F00000057,1
20,F00000060,1
21,F00000061,1
22,F00000064,1
23,F00000066,1
24,F00000069,1
25,F00000070,1
26,F00000073,1
27,F00000088,1
28,F00000093,1
29,F00000094,1
30,F00000098,1
31,F00000099,1
32,F00000101,1
33,F00000102,1
34,F00000110,1
35,F00000112,1
36,F00000114,1
37,F00000128,1
38,F00000132,1
39,F00000138,1
40,F00000142,1
41,F00000144,1
42,F00000146,1
43,F00000149,1
44,F00000152,1
45,F00000158,1
46,F00000161,1
47,F00000170,1
48,F00000172,1
49,F00000173,1
50,F00000179,1
51,F00000184,1
52,F00000186,1
53,F00000194,1
54,F00000195,1
55,F00000200,1
56,F00000201,1
57,F00000207,1
58,F00000208,1
59,F00000214,1
60,F00000216,1
61,F00000222,1
62,F00000224,1
63,F00000225,1
64,F00000226,1
65,F00000227,1
66,F00000233,1
67,F00000236,1
68,F00000237,1
69,F00000239,1
70,F00000244,1
71,F00000246,1
72,F00000248,1
73,F00000251,1
74,F00000252,1
75,F00000255,1
76,F00000258,1
77,F00000259,1
78,F00000260,1
79,F00000270,1
80,F00000271,1
81,F00000272,1
82,F00000274,1
83,F00000286,1
84,F00000288,1
85,F00000289,1
86,F00000298,1
87,F00000300,1
88,F00000301,1
89,F00000302,1
90,F00000303,1
91,F00000307,1
92,F00000312,1
93,F00000314,1
94,F00000316,1
95,F00000325,1
96,F00000326,1
97,F00000328,1
98,F00000336,1
99,F00000340,1
100,F00000344,1
101,F00000347,1
102,F00000349,1
103,F00000350,1
104,F00000357,1
105,F00000361,1
106,F00000365,1
107,F00000368,1
108,F00000374,1
109,F00000381,1
110,F00000382,1
111,F00000388,1
112,F00000395,1
113,F00000406,1
114,F00000408,1
115,F00000411,1
116,F00000412,1
117,F00000415,1
118,F00000416,1
119,F00000418,1
120,F00000424,1
121,F00000426,1
122,F00000429,1
123,F00000430,1
124,F00000440,1
125,F00000443,1
126,F00000446,1
127,F00000447,1
128,F00000450,1
129,F00000451,1
130,F00000463,1
131,F00000466,1
132,F00000468,1
133,F00000472,1
134,F00000480,1
135,F00000483,1
136,F00000486,1
137,F00000491,1
138,F00000494,1
139,F00000497,1
140,F00000500,1
141,F00000509,1
142,F00000511,1
143,F00000512,1
144,F00000522,1
145,F00000533,1
146,F00000534,1
147,F00000548,1
148,F00000549,1
149,F00000554,1
150,F00000558,1
151,F00000566,1
152,F00000567,1
153,F00000568,1
154,F00000574,1
155,F00000579,1
156,F00000583,1
157,F00000586,1
158,F00000589,1
159,F00000592,1
160,F00000594,1
161,F00000600,1
162,F00000603,1
163,F00000604,1
164,F00000608,1
165,F00000622,1
166,F00000632,1
167,F00000637,1
168,F00000642,1
169,F00000643,1
170,F00000648,1
171,F00000665,1
172,F00000666,1
173,F00000667,1
174,F00000669,1
175,F00000675,1
176,F00000676,1
177,F00000684,1
178,F00000685,1
179,F00000689,1
180,F00000697,1
181,F00000703,1
182,F00000704,1
183,F00000708,1
184,F00000714,1
185,F00000720,1
186,F00000727,1
187,F00000729,1
188,F00000730,1
189,F00000732,1
190,F00000736,1
191,F00000742,1
192,F00000744,1
193,F00000745,1
194,F00000751,1
195,F00000752,1
196,F00000753,1
197,F00000754,1
198,F00000755,1
199,F00000756,1
200,F00000759,1
201,F00000762,1
202,F00000768,1
203,F00000770,1
204,F00000773,1
205,F00000776,1
206,F00000781,1
207,F00000785,1
208,F00000790,1
209,F00000794,1
210,F00000797,1
211,F00000799,1
212,F00000800,1
213,F00000801,1
214,F00000807,1
215,F00000810,1
216,F00000811,1
217,F00000812,1
218,F00000831,1
219,F00000832,1
220,F00000837,1
221,F00000842,1
222,F00000847,1
223,F00000851,1
224,F00000854,1
