venue,batting_team,bowling_team,innings,total_runs,venue_max_wicket_20,venue_min_wicket_20,venue_avg_wicket_20,venue_max_wicket_6,venue_min_wicket_6,venue_avg_wicket_6,venue_overall_sr_20,venue_overall_sr_6,venue_avg_runs_20,venue_min_runs_20,venue_max_runs_20,venue_avg_runs_6,venue_min_runs_6,venue_max_runs_6,venue_innings_max_wicket_20,venue_innings_min_wicket_20,venue_innings_avg_wicket_20,venue_innings_max_wicket_6,venue_innings_min_wicket_6,venue_innings_avg_wicket_6,venue_innings_innings_sr_20,venue_innings_innings_sr_6,venue_innings_avg_runs_20,venue_innings_min_runs_20,venue_innings_max_runs_20,venue_innings_avg_runs_6,venue_innings_min_runs_6,venue_innings_max_runs_6,venue_battingteam_strikerate_20,venue_battingteam_avg_runs_20,venue_battingteam_min_runs_20,venue_battingteam_max_runs_20,venue_battingteam_avg_wickets_20,venue_battingteam_min_wickets_20,venue_battingteam_max_wickets_20,venue_battingteam_avg_runs_6,venue_battingteam_min_runs_6,venue_battingteam_max_runs_6,venue_battingteam_avg_wickets_6,venue_battingteam_min_wickets_6,venue_battingteam_max_wickets_6,venue_bowlingteam_strikerate_20,venue_bowlingteam_avg_runs_20,venue_bowlingteam_min_runs_20,venue_bowlingteam_max_runs_20,venue_bowlingteam_avg_wickets_20,venue_bowlingteam_min_wickets_20,venue_bowlingteam_max_wickets_20,venue_bowlingteam_avg_runs_6,venue_bowlingteam_min_runs_6,venue_bowlingteam_max_runs_6,venue_bowlingteam_avg_wickets_6,venue_bowlingteam_min_wickets_6,venue_bowlingteam_max_wickets_6,venue_innings_battingteam_strikerate_20,venue_innings_battingteam_avg_runs_20,venue_innings_battingteam_min_runs_20,venue_innings_battingteam_max_runs_20,venue_innings_battingteam_avg_wickets_20,venue_innings_battingteam_min_wickets_20,venue_innings_battingteam_max_wickets_20,venue_innings_battingteam_avg_runs_6,venue_innings_battingteam_min_runs_6,venue_innings_battingteam_max_runs_6,venue_innings_battingteam_avg_wickets_6,venue_innings_battingteam_min_wickets_6,venue_innings_battingteam_max_wickets_6,venue_innings_bowlingteam_strikerate_20,venue_innings_bowlingteam_avg_runs_20,venue_innings_bowlingteam_min_runs_20,venue_innings_bowlingteam_max_runs_20,venue_innings_bowlingteam_avg_wickets_20,venue_innings_bowlingteam_min_wickets_20,venue_innings_bowlingteam_max_wickets_20,venue_innings_bowlingteam_avg_runs_6,venue_innings_bowlingteam_min_runs_6,venue_innings_bowlingteam_max_runs_6,venue_innings_bowlingteam_avg_wickets_6,venue_innings_bowlingteam_min_wickets_6,venue_innings_bowlingteam_max_wickets_6,venue_oppteam_batsmen_strikerate_20,venue_oppteam_batsmen_avg_runs_20,venue_oppteam_batsmen_min_runs_20,venue_oppteam_batsmen_max_runs_20,venue_oppteam_batsmen_avg_wickets_20,venue_oppteam_batsmen_min_wickets_20,venue_oppteam_batsmen_max_wickets_20,venue_oppteam_batsmen_avg_runs_6,venue_oppteam_batsmen_min_runs_6,venue_oppteam_batsmen_max_runs_6,venue_oppteam_batsmen_avg_wickets_6,venue_oppteam_batsmen_min_wickets_6,venue_oppteam_batsmen_max_wickets_6,venue_oppteam_bowler_innings,venue_oppteam_bowler_strikerate_20,venue_oppteam_bowler_avg_runs_20,venue_oppteam_bowler_min_runs_20,venue_oppteam_bowler_max_runs_20,venue_oppteam_bowler_avg_wickets_20,venue_oppteam_bowler_min_wickets_20,venue_oppteam_bowler_max_wickets_20,venue_oppteam_bowler_avg_runs_6,venue_oppteam_bowler_min_runs_6,venue_oppteam_bowler_max_runs_6,venue_oppteam_bowler_avg_wickets_6,venue_oppteam_bowler_min_wickets_6,venue_oppteam_bowler_max_wickets_6
M.Chinnaswamy Stadium,Kolkata Knight Riders,Royal Challengers Bangalore,1.0,61.0,10.0,0.0,5.726708075,7.0,0.0,1.472049689,137.98,123.19,317.375,103.0,422.0,91.425,52.0,145.0,10.0,2.0,6.125,7.0,0.0,1.3374999999999997,140.53,120.45,169.1625,62.0,263.0,45.0625,23.0,76.0,135.15000000000003,143.69230769230768,44.0,205.0,5.769230769230769,3.0,10.0,50.615384615384606,22.0,103.0,1.3076923076923077,0.0,3.0,135.09000000000006,159.18666666666667,41.0,222.0,5.8,1.0,10.0,47.30666666666665,21.0,105.0,1.4533333333333334,0.0,5.0,124.27000000000004,135.14285714285714,82.0,205.0,6.571428571428572,3.0,10.0,45.57142857142858,22.0,58.0,1.4285714285714286,0.0,3.0,133.38,167.14705882352942,89.0,222.0,6.35294117647059,2.0,10.0,46.82352941176472,23.0,64.0,1.1470588235294117,0.0,4.0,111.47666666666667,25.06349206333333,9.0,73.0,0.9523809523333333,0.6666666666666666,1.0,12.452380953333332,3.6666666666666665,27.333333333333332,0.40476190466666667,0.0,0.6666666666666666,45.333333333333336,155.88333333333333,36.22222222333333,31.666666666666668,40.0,0.7777777776666666,0.6666666666666666,1.0,23.666666666666668,19.666666666666668,28.0,0.22222222233333333,0.0,0.3333333333333333
M.Chinnaswamy Stadium,Royal Challengers Bangalore,Kolkata Knight Riders,2.0,26.0,10.0,0.0,5.726708075,7.0,0.0,1.472049689,137.98,123.19000000000001,317.375,103.0,422.0,91.425,52.0,145.0,10.0,0.0,5.443037975,5.0,0.0,1.620253165,135.06999999999996,125.61,149.75949369999998,2.0,207.0,46.62025316,2.0,105.0,133.02,154.0,2.0,252.0,5.7631578947368425,0.0,10.0,42.96052631578947,2.0,75.0,1.4736842105263157,0.0,7.0,133.42000000000007,146.61538461538456,82.0,205.0,5.230769230769233,2.0,10.0,41.15384615384614,20.0,65.0,1.7692307692307694,0.0,4.0,133.65999999999994,141.47058823529414,2.0,194.0,5.588235294117646,0.0,10.0,42.735294117647065,2.0,75.0,1.5294117647058822,0.0,5.0,126.55999999999999,122.28571428571426,82.0,162.0,5.285714285714286,2.0,10.0,42.857142857142854,20.0,65.0,2.285714285714285,1.0,4.0,86.55333333333334,14.555555555,5.0,27.166666666666668,0.9814814815,0.8333333333333334,1.0,6.916666666666667,3.1666666666666665,11.5,0.4791666666666667,0.3333333333333333,0.6666666666666666,163.0,123.74333333333334,27.96666666666667,15.666666666666666,41.333333333333336,1.1666666666666667,0.0,2.3333333333333335,13.166666666666666,7.333333333333333,19.666666666666668,0.5,0.0,1.3333333333333333
"Punjab Cricket Association Stadium, Mohali",Chennai Super Kings,Punjab Kings,1.0,53.0,10.0,0.0,5.625,4.0,0.0,1.303571429,135.71,130.35,321.57142860000005,135.0,447.0,96.85714286,65.0,133.0,10.0,3.0,6.160714286,4.0,0.0,1.285714286,136.07,127.94,165.6428571,67.0,240.0,47.42857143,25.0,77.0,144.4800000000001,171.5,128.0,234.0,3.6666666666666665,0.0,5.0,41.333333333333336,28.0,50.0,1.3333333333333333,0.0,2.0,148.8000000000001,160.07142857142858,67.0,240.0,5.571428571428572,0.0,10.0,47.5357142857143,25.0,65.0,1.357142857142857,0.0,4.0,158.7900000000002,195.0,168.0,234.0,4.666666666666667,4.0,5.0,39.333333333333336,28.0,50.0,1.3333333333333333,1.0,2.0,135.02999999999994,166.15384615384616,67.0,240.0,6.0,3.0,10.0,46.6923076923077,25.0,64.0,1.3461538461538465,0.0,3.0,151.33,39.80555555666667,13.666666666666666,74.0,0.7777777776666667,0.3333333333333333,1.0,16.666666666666668,11.333333333333334,22.333333333333332,0.25,0.0,0.6666666666666666,22.666666666666668,184.40333333333334,41.666666666666664,41.666666666666664,41.666666666666664,0.6666666666666666,0.6666666666666666,0.6666666666666666,17.666666666666668,17.666666666666668,17.666666666666668,0.3333333333333333,0.3333333333333333,0.3333333333333333
"Punjab Cricket Association Stadium, Mohali",Punjab Kings,Chennai Super Kings,2.0,63.0,10.0,0.0,5.625,4.0,0.0,1.303571429,135.71,130.35,321.57142860000005,135.0,447.0,96.85714286,65.0,133.0,10.0,0.0,5.089285714,4.0,0.0,1.321428571,135.34,132.76,155.9285714,68.0,207.0,49.42857143,31.0,76.0,141.98000000000005,153.91071428571428,66.0,216.0,5.678571428571429,0.0,10.0,47.17857142857143,28.0,74.0,1.25,0.0,4.0,145.32000000000014,173.0,130.0,207.0,6.0,4.0,10.0,59.16666666666666,41.0,75.0,1.1666666666666667,0.0,3.0,126.13999999999996,150.5769230769231,66.0,196.0,4.961538461538462,0.0,10.0,48.53846153846154,28.0,74.0,1.2692307692307692,0.0,3.0,161.6700000000002,191.0,173.0,207.0,4.0,4.0,4.0,65.33333333333333,63.0,68.0,0.6666666666666666,0.0,1.0,164.385,47.5,47.5,47.5,1.0,1.0,1.0,30.5,30.5,30.5,0.5,0.5,0.5,75.0,158.45,39.25,38.5,40.0,0.5,0.5,0.5,31.5,31.5,31.5,0.5,0.5,0.5
Feroz Shah Kotla,Rajasthan Royals,Delhi Capitals,1.0,40.0,10.0,0.0,5.857142857,5.0,0.0,1.529411765,132.05,126.53000000000002,307.0166667,56.0,433.0,93.40000000000002,33.0,141.0,10.0,1.0,6.0,4.0,0.0,1.466666667,132.4,124.41000000000001,161.6333333,56.0,231.0,46.46666667,24.0,71.0,120.71999999999996,143.71428571428572,118.0,180.0,6.285714285714287,3.0,10.0,39.142857142857146,35.0,44.0,1.4285714285714286,0.0,4.0,142.2800000000001,155.32727272727269,44.0,218.0,5.672727272727273,0.0,10.0,48.56363636363636,24.0,73.0,1.3636363636363635,0.0,4.0,113.97999999999992,139.0,122.0,156.0,7.5,7.0,8.0,38.0,38.0,38.0,1.5,1.0,2.0,137.91000000000003,165.4090909090909,110.0,218.0,5.909090909090909,1.0,9.0,46.63636363636363,24.0,71.0,1.318181818181818,0.0,4.0,92.53249999999998,12.9523809525,6.25,24.0,0.76190476175,0.5,1.0,9.5625,7.5,12.25,0.3125,0.25,0.5,36.333333333333336,106.38333333333333,25.166666666666668,25.0,25.333333333333332,1.5,1.3333333333333333,1.6666666666666667,15.0,13.333333333333334,16.666666666666668,1.1666666666666667,0.6666666666666666,1.6666666666666667
Feroz Shah Kotla,Delhi Capitals,Rajasthan Royals,2.0,55.0,10.0,0.0,5.857142857,5.0,0.0,1.529411765,132.05,126.53000000000002,307.0166667,56.0,433.0,93.40000000000002,33.0,141.0,10.0,0.0,5.711864407,5.0,0.0,1.5932203390000002,131.67,128.7,147.84745759999998,44.0,214.0,47.72881356,22.0,73.0,135.78000000000006,146.53571428571428,51.0,215.0,5.928571428571428,1.0,10.0,43.9107142857143,21.0,63.0,1.732142857142857,0.0,5.0,131.63999999999993,157.14285714285714,132.0,188.0,4.857142857142857,1.0,7.0,44.57142857142858,27.0,55.0,1.5714285714285714,1.0,3.0,124.92000000000006,140.5909090909091,63.0,202.0,5.6818181818181825,1.0,10.0,42.95454545454546,21.0,62.0,1.9545454545454544,0.0,5.0,131.03000000000014,146.0,132.0,160.0,3.5,1.0,6.0,47.0,39.0,55.0,1.0,1.0,1.0,127.37,41.44444444333333,29.333333333333332,57.666666666666664,0.8333333333333334,0.3333333333333333,1.3333333333333333,16.5,10.333333333333334,22.666666666666668,0.38888888899999996,0.0,0.6666666666666666,106.66666666666667,130.94000000000003,27.11111111,21.0,34.666666666666664,0.22222222233333333,0.0,0.3333333333333333,13.0,6.666666666666667,18.333333333333332,0.22222222233333333,0.0,0.3333333333333333
"Wankhede Stadium, Mumbai",Mumbai Indians,Royal Challengers Bangalore,1.0,47.0,10.0,0.0,6.026666667000001,5.0,0.0,1.46,133.4,121.80999999999999,321.4189189,135.0,453.0,91.54054054,57.0,170.0,10.0,1.0,6.094594595,4.0,0.0,1.3648648650000001,134.32,118.3,166.3243243,67.0,235.0,44.378378379999994,23.0,84.0,117.8100000000001,154.37313432835822,58.0,215.0,5.925373134328357,1.0,10.0,42.835820895522396,15.0,78.0,1.3432835820895523,0.0,4.0,144.93000000000006,178.1,141.0,213.0,5.7,4.0,7.0,47.70000000000001,25.0,67.0,1.3999999999999997,0.0,3.0,126.25000000000004,159.64864864864862,83.0,199.0,5.864864864864866,2.0,10.0,40.91891891891892,20.0,78.0,1.2162162162162162,0.0,4.0,144.00000000000009,180.0,141.0,213.0,6.2,5.0,7.0,46.79999999999999,25.0,60.0,1.8,1.0,3.0,91.902,20.8,20.8,20.8,1.0,1.0,1.0,8.2,8.2,8.2,0.6,0.6,0.6,147.33333333333334,121.64999999999999,28.07142857,18.0,39.333333333333336,1.1666666666666667,0.0,3.0,15.472222223333333,9.666666666666666,19.333333333333332,0.44444444433333335,0.0,1.3333333333333333
"Wankhede Stadium, Mumbai",Royal Challengers Bangalore,Mumbai Indians,2.0,40.0,10.0,0.0,6.026666667000001,5.0,0.0,1.46,133.4,121.81,321.4189189,135.0,453.0,91.54054054,57.0,170.0,10.0,0.0,6.094594595,5.0,0.0,1.567567568,132.33,125.02,154.8648649,68.0,223.0,46.93243243,17.0,100.0,130.73000000000002,160.8,125.0,228.0,5.599999999999999,1.0,8.0,42.9,30.0,61.0,1.1,0.0,2.0,119.32000000000004,157.59701492537312,67.0,235.0,6.343283582089552,0.0,10.0,44.880597014925364,23.0,90.0,1.5820895522388063,0.0,5.0,123.47000000000013,148.2,125.0,161.0,5.8,1.0,8.0,43.20000000000001,30.0,61.0,1.0,0.0,2.0,125.96999999999998,153.94594594594594,79.0,195.0,6.378378378378378,0.0,10.0,46.081081081081074,23.0,90.0,1.594594594594594,0.0,5.0,121.29666666666667,16.38888889,7.666666666666667,27.333333333333332,0.6944444443333334,0.3333333333333333,1.0,9.166666666666666,7.0,13.666666666666666,0.5,0.3333333333333333,0.6666666666666666,63.333333333333336,109.46333333333332,27.0,27.0,27.0,1.0,0.6666666666666666,1.3333333333333333,11.833333333333334,10.333333333333334,13.333333333333334,0.3333333333333333,0.3333333333333333,0.3333333333333333
Eden Gardens,Deccan Chargers,Kolkata Knight Riders,1.0,39.0,10.0,0.0,5.701298701,4.0,0.0,1.415584416,131.52,123.93,307.24675319999994,166.0,430.0,92.53246753,48.0,137.0,10.0,1.0,6.233766234,4.0,0.0,1.324675325,131.48,122.13,160.18181819999998,81.0,232.0,45.64935065,15.0,69.0,107.17000000000003,131.66666666666666,100.0,150.0,7.666666666666668,5.0,10.0,40.0,29.0,56.0,1.6666666666666667,1.0,2.0,125.90000000000003,150.55405405405406,49.0,213.0,5.918918918918918,0.0,10.0,45.67567567567568,15.0,74.0,1.4324324324324325,0.0,4.0,84.78999999999998,100.0,100.0,100.0,10.0,10.0,10.0,35.0,35.0,35.0,2.0,2.0,2.0,115.73,150.21212121212122,81.0,213.0,6.454545454545454,1.0,10.0,43.69696969696971,15.0,69.0,1.3939393939393938,0.0,4.0,72.9925,19.25,12.75,24.75,1.0,1.0,1.0,7.45,4.75,9.75,0.6,0.5,0.75,34.0,92.47333333333334,17.666666666666668,15.666666666666666,19.666666666666668,1.1666666666666667,1.0,1.3333333333333333,12.666666666666666,12.333333333333334,13.0,0.8333333333333334,0.6666666666666666,1.0
Eden Gardens,Kolkata Knight Riders,Deccan Chargers,2.0,26.0,10.0,0.0,5.701298701,4.0,0.0,1.415584416,131.52,123.93000000000002,307.24675319999994,166.0,430.0,92.53246753,48.0,137.0,10.0,0.0,5.168831169,4.0,0.0,1.506493506,131.57,125.73999999999997,147.0649351,49.0,204.0,46.88311688000001,26.0,76.0,124.13000000000007,147.54054054054058,56.0,225.0,5.364864864864866,1.0,10.0,44.16216216216216,21.0,68.0,1.391891891891892,0.0,4.0,123.12,152.0,112.0,181.0,5.0,4.0,6.0,39.333333333333336,26.0,46.0,1.6666666666666667,0.0,3.0,125.44999999999986,133.0,56.0,187.0,4.545454545454546,1.0,10.0,44.30303030303031,21.0,68.0,1.5454545454545456,0.0,3.0,91.83999999999992,112.0,112.0,112.0,5.0,5.0,5.0,26.0,26.0,26.0,3.0,3.0,3.0,80.138,20.1,12.0,28.2,0.8000000000000002,0.6,1.0,5.599999999999999,4.2,7.0,0.6,0.6,0.6,56.666666666666664,83.27333333333333,18.0,16.333333333333332,19.666666666666668,1.1666666666666667,1.0,1.3333333333333333,7.833333333333333,7.0,8.666666666666666,1.0,1.0,1.0
