venue,innings,batting_team,bowling_team,batsmen,bowler,total_runs
M.Chinnaswamy Stadium,1,Kolkata Knight Riders,Royal Challengers Bangalore,"BB McCullum, SC Ganguly, RT Ponting","P Kumar, Z Khan, AA Noffke",61
M.Chinnaswamy Stadium,2,Royal Challengers Bangalore,Kolkata Knight Riders,"W Jaffer, MV Boucher, JH Kallis, CL White, R Dravid, V Kohli","AB Dinda, AB Agarkar, I Sharma",26
"Punjab Cricket Association Stadium, Mohali",1,Chennai Super Kings,Punjab Kings,"ML Hayden, PA Patel, MEK Hussey","B Lee, JR Hopes, S Sreesanth",53
"Punjab Cricket Association Stadium, Mohali",2,Punjab Kings,Chennai Super Kings,"JR Hopes, K Goel","JDP Oram, MS Gony",63
Feroz Shah Kotla,1,Rajasthan Royals,Delhi Capitals,"T Kohli, SR Watson, M Kaif, YK Pathan","GD McGrath, MF Maharoof, B Geeves",40
Feroz Shah Kotla,2,Delhi Capitals,Rajasthan Royals,"V Sehwag, G Gambhir, S Dhawan","MM Patel, SK Trivedi, SR Watson",55
"Wankhede Stadium, Mumbai",1,Mumbai Indians,Royal Challengers Bangalore,"DJ Thornely, PR Shah, ST Jayasuriya, L Ronchi, RV Uthappa","P Kumar, JH Kallis, Z Khan",47
"Wankhede Stadium, Mumbai",2,Royal Challengers Bangalore,Mumbai Indians,"LRPL Taylor, R Dravid, S Chanderpaul","DS Kulkarni, A Nehra, SM Pollock",40
Eden Gardens,1,Deccan Chargers,Kolkata Knight Riders,"Y Venugopal Rao, AC Gilchrist, VVS Laxman, A Symonds","AB Dinda, AB Agarkar, I Sharma",39
Eden Gardens,2,Kolkata Knight Riders,Deccan Chargers,"SC Ganguly, RT Ponting, BB McCullum, WP Saha, DJ Hussey","SB Styris, RP Singh, WPUJC Vaas",26
Sawai Mansingh Stadium,1,Punjab Kings,Rajasthan Royals,"KC Sangakkara, JR Hopes, K Goel","MM Patel, SK Trivedi, SR Watson",54
Sawai Mansingh Stadium,2,Rajasthan Royals,Punjab Kings,"DS Lehmann, M Kaif, Kamran Akmal, SR Watson, YK Pathan","B Lee, JR Hopes, S Sreesanth",53
"Rajiv Gandhi International Stadium, Uppal",1,Deccan Chargers,Delhi Capitals,"Y Venugopal Rao, AC Gilchrist, VVS Laxman, A Symonds","GD McGrath, Mohammad Asif",25
"Rajiv Gandhi International Stadium, Uppal",2,Delhi Capitals,Deccan Chargers,"V Sehwag, G Gambhir, S Dhawan","RP Singh, WPUJC Vaas",48
MA Chidambaram Stadium,1,Chennai Super Kings,Mumbai Indians,"ML Hayden, PA Patel, MEK Hussey, SK Raina","DS Kulkarni, A Nehra, SM Pollock",53
MA Chidambaram Stadium,2,Mumbai Indians,Chennai Super Kings,"SM Pollock, L Ronchi, ST Jayasuriya, RV Uthappa","JDP Oram, MS Gony",52
"Rajiv Gandhi International Stadium, Uppal",1,Deccan Chargers,Rajasthan Royals,"Shahid Afridi, A Symonds, AC Gilchrist, VVS Laxman","MM Patel, SR Watson, YK Pathan",58
"Rajiv Gandhi International Stadium, Uppal",2,Rajasthan Royals,Deccan Chargers,"Kamran Akmal, GC Smith, YK Pathan","PP Ojha, RP Singh, WPUJC Vaas",73
"Punjab Cricket Association Stadium, Mohali",1,Punjab Kings,Mumbai Indians,"IK Pathan, KC Sangakkara, K Goel","DS Kulkarni, A Nehra, SM Pollock",60
"Punjab Cricket Association Stadium, Mohali",2,Mumbai Indians,Punjab Kings,"DJ Bravo, L Ronchi, ST Jayasuriya, RV Uthappa","B Lee, IK Pathan, VRV Singh, S Sreesanth",39
M.Chinnaswamy Stadium,1,Royal Challengers Bangalore,Rajasthan Royals,"LRPL Taylor, R Dravid, JH Kallis, S Chanderpaul","MM Patel, SR Watson, Sohail Tanvir",57
M.Chinnaswamy Stadium,2,Rajasthan Royals,Royal Challengers Bangalore,"M Rawat, GC Smith, YK Pathan, SR Watson","P Kumar, R Vinay Kumar, Z Khan",45
MA Chidambaram Stadium,1,Kolkata Knight Riders,Chennai Super Kings,"SC Ganguly, RT Ponting, BB McCullum, WP Saha, DJ Hussey","JDP Oram, MS Gony, P Amarnath",61
MA Chidambaram Stadium,2,Chennai Super Kings,Kolkata Knight Riders,"ML Hayden, PA Patel","AB Dinda, AB Agarkar, I Sharma",45
Dr DY Patil Sports Academy,1,Mumbai Indians,Deccan Chargers,"ST Jayasuriya, L Ronchi, SM Pollock, AM Rahane, RV Uthappa","Shahid Afridi, DNT Zoysa, RP Singh, SB Bangar",27
Dr DY Patil Sports Academy,2,Deccan Chargers,Mumbai Indians,"AC Gilchrist, VVS Laxman","DS Kulkarni, ST Jayasuriya, SD Chitnis, SM Pollock, A Nehra",60
"Punjab Cricket Association Stadium, Mohali",1,Delhi Capitals,Punjab Kings,"V Sehwag, G Gambhir, Shoaib Malik, S Dhawan","B Lee, IK Pathan, VRV Singh, S Sreesanth",45
"Punjab Cricket Association Stadium, Mohali",2,Punjab Kings,Delhi Capitals,"SM Katich, KC Sangakkara, DPMD Jayawardene, K Goel","GD McGrath, MF Maharoof, Mohammad Asif",55
M.Chinnaswamy Stadium,1,Chennai Super Kings,Royal Challengers Bangalore,"ML Hayden, PA Patel, MEK Hussey","P Kumar, DW Steyn, Z Khan",36
M.Chinnaswamy Stadium,2,Royal Challengers Bangalore,Chennai Super Kings,"LRPL Taylor, W Jaffer, B Chipli","JDP Oram, MS Gony",45
Eden Gardens,1,Kolkata Knight Riders,Mumbai Indians,"DB Das, SC Ganguly, RT Ponting, BB McCullum, DJ Hussey","DS Kulkarni, SM Pollock, DJ Bravo, CRD Fernando, A Nehra",40
Eden Gardens,2,Mumbai Indians,Kolkata Knight Riders,"ST Jayasuriya, MK Pandey, AM Rahane, DJ Bravo, RV Uthappa","AB Dinda, AB Agarkar, I Sharma",38
Feroz Shah Kotla,1,Delhi Capitals,Royal Challengers Bangalore,"V Sehwag, G Gambhir, S Dhawan","P Kumar, DW Steyn, Z Khan",58
Feroz Shah Kotla,2,Royal Challengers Bangalore,Delhi Capitals,"LRPL Taylor, W Jaffer, P Kumar, JH Kallis, R Dravid","GD McGrath, VY Mahesh, Mohammad Asif",55
