venue,batting_team,strikerate_20,avg_runs_20,min_runs_20,max_runs_20,avg_wickets_20,min_wickets_20,max_wickets_20,avg_runs_6,min_runs_6,max_runs_6,avg_wickets_6,min_wickets_6,max_wickets_6
Arun Jaitley Stadium,Chennai Super Kings,110.73999999999981,134.0,126,142,5.0,4,6,48.5,43,54,0.5,0,1
Arun Jaitley Stadium,Delhi Capitals,133.05999999999995,159.64285714285714,116,215,5.785714285714286,4,9,46.92857142857143,35,62,1.4285714285714286,0,3
Arun Jaitley Stadium,Kolkata Knight Riders,136.33999999999992,172.0,160,184,9.0,9,9,46.5,42,51,3.5,3,4
Arun Jaitley Stadium,Mumbai Indians,129.70999999999987,159.0,156,162,7.5,5,10,55.0,55,55,0.5,0,1
Arun Jaitley Stadium,Punjab Kings,117.07999999999984,143.5,129,158,7.5,7,8,50.0,50,50,2.0,2,2
Arun Jaitley Stadium,Rajasthan Royals,123.68,124.0,106,142,7.0,5,9,53.0,29,77,2.0,0,4
Arun Jaitley Stadium,Royal Challengers Bangalore,141.41999999999976,171.0,166,176,6.0,5,7,57.5,53,62,1.5,1,2
Arun Jaitley Stadium,Sunrisers Hyderabad,135.5399999999999,154.5,120,189,3.0,1,5,51.5,50,53,0.5,0,1
Barabati Stadium,Chennai Super Kings,148.67000000000004,183.0,183,183,6.0,6,6,45.0,45,45,1.0,1,1
Barabati Stadium,Deccan Chargers,132.20000000000005,159.0,123,175,6.25,4,8,42.5,32,55,1.75,1,2
Barabati Stadium,Delhi Capitals,129.97999999999996,157.0,157,157,9.0,9,9,48.0,48,48,1.0,1,1
Barabati Stadium,Kolkata Knight Riders,115.1399999999999,133.33333333333334,118,145,3.3333333333333335,1,5,44.333333333333336,39,52,0.3333333333333333,0,1
Barabati Stadium,Mumbai Indians,107.19999999999992,134.0,134,134,5.0,5,5,31.0,31,31,2.0,2,2
Barabati Stadium,Pune Warriors,133.59999999999988,167.0,167,167,5.0,5,5,47.0,47,47,1.0,1,1
Barabati Stadium,Punjab Kings,140.06,172.66666666666666,145,221,6.666666666666667,4,8,35.0,25,46,2.3333333333333335,2,3
Brabourne Stadium,Chennai Super Kings,133.92999999999998,166.5,166,167,2.5,2,3,52.0,46,58,1.0,0,2
Brabourne Stadium,Deccan Chargers,94.79999999999998,108.0,108,108,10.0,10,10,40.0,40,40,2.0,2,2
Brabourne Stadium,Delhi Capitals,117.41999999999983,148.0,136,160,7.0,7,7,57.0,50,64,1.5,1,2
Brabourne Stadium,Kolkata Knight Riders,116.56000000000007,152.0,140,164,6.0,3,9,35.0,32,38,1.0,0,2
Brabourne Stadium,Mumbai Indians,133.1899999999999,164.25,137,196,5.875,3,9,47.5,36,63,0.625,0,2
Brabourne Stadium,Punjab Kings,111.8700000000001,142.0,142,142,10.0,10,10,35.0,35,35,2.0,2,2
Brabourne Stadium,Rajasthan Royals,153.09,190.0,181,203,5.5,2,7,43.75,36,62,1.0,0,2
Brabourne Stadium,Royal Challengers Bangalore,133.11000000000007,153.0,153,153,3.0,3,3,53.0,53,53,0.0,0,0
Brabourne Stadium,Sunrisers Hyderabad,147.39000000000004,186.0,186,186,4.0,4,4,47.0,47,47,1.0,1,1
Buffalo Park,Chennai Super Kings,135.72000000000014,168.0,168,168,3.0,3,3,50.0,50,50,0.0,0,0
Buffalo Park,Deccan Chargers,102.23999999999994,93.0,93,93,10.0,10,10,49.0,49,49,3.0,3,3
Buffalo Park,Delhi Capitals,95.51000000000003,112.0,112,112,3.0,3,3,32.0,32,32,0.0,0,0
Buffalo Park,Kolkata Knight Riders,103.23000000000012,131.0,131,131,6.0,6,6,25.0,25,25,2.0,2,2
Buffalo Park,Mumbai Indians,92.82000000000005,119.0,103,135,8.0,6,10,29.5,25,34,2.5,2,3
De Beers Diamond Oval,Chennai Super Kings,112.85000000000001,131.0,131,131,3.0,3,3,35.0,35,35,2.0,2,2
De Beers Diamond Oval,Deccan Chargers,132.41999999999987,162.5,161,164,6.0,5,7,45.5,41,50,1.5,1,2
De Beers Diamond Oval,Punjab Kings,131.19999999999976,160.0,160,160,7.0,7,7,43.0,43,43,2.0,2,2
De Beers Diamond Oval,Rajasthan Royals,99.70999999999982,121.0,109,133,8.5,7,10,30.5,28,33,1.5,1,2
Dr DY Patil Sports Academy,Chennai Super Kings,115.85999999999989,144.0,126,157,4.75,2,7,33.5,23,40,1.25,0,3
Dr DY Patil Sports Academy,Deccan Chargers,106.05000000000001,117.83333333333333,78,146,6.833333333333333,0,10,42.166666666666664,22,59,1.6666666666666667,0,4
Dr DY Patil Sports Academy,Delhi Capitals,131.75,154.5,129,180,8.5,7,10,48.5,37,60,1.0,0,2
Dr DY Patil Sports Academy,Kochi Tuskers Kerala,111.29000000000005,137.0,137,137,8.0,8,8,37.0,37,37,4.0,4,4
Dr DY Patil Sports Academy,Kolkata Knight Riders,112.71999999999997,130.0,114,146,3.5,3,4,36.0,30,42,2.5,1,4
Dr DY Patil Sports Academy,Mumbai Indians,117.69999999999992,142.71428571428572,92,171,6.571428571428571,3,9,38.285714285714285,23,48,1.4285714285714286,0,3
Dr DY Patil Sports Academy,Pune Warriors,112.24999999999996,133.14285714285714,106,179,6.142857142857143,3,9,38.0,24,59,1.7142857142857142,1,3
Dr DY Patil Sports Academy,Punjab Kings,81.59999999999994,102.0,102,102,8.0,8,8,30.0,30,30,5.0,5,5
Dr DY Patil Sports Academy,Rajasthan Royals,107.69999999999993,123.0,96,150,8.5,7,10,42.0,36,48,1.5,1,2
