venue,batting_team,strikerate_20,avg_runs_20,min_runs_20,max_runs_20,avg_wickets_20,min_wickets_20,max_wickets_20,avg_runs_6,min_runs_6,max_runs_6,avg_wickets_6,min_wickets_6,max_wickets_6
Arun Jaitley Stadium,Delhi Capitals,143.16999999999993,175.77777777777777,129,219,5.222222222222222,4,8,47.111111111111114,36,62,1.3333333333333333,0,2
Arun Jaitley Stadium,Kolkata Knight Riders,149.4300000000001,185.0,185,185,8.0,8,8,36.0,36,36,2.0,2,2
Arun Jaitley Stadium,Mumbai Indians,135.79000000000013,168.0,168,168,5.0,5,5,57.0,57,57,0.0,0,0
Arun Jaitley Stadium,Punjab Kings,124.83999999999983,153.0,143,163,7.5,7,8,50.5,50,51,2.0,2,2
Arun Jaitley Stadium,Rajasthan Royals,91.04000000000006,115.0,115,115,9.0,9,9,30.0,30,30,4.0,4,4
Arun Jaitley Stadium,Chennai Super Kings,114.85999999999977,139.0,128,150,5.0,4,6,51.0,44,58,0.5,0,1
Arun Jaitley Stadium,Delhi Capitals,124.73000000000019,147.8,121,185,6.6,5,9,49.4,45,60,1.4,0,3
Arun Jaitley Stadium,Kolkata Knight Riders,133.20000000000007,164.0,164,164,9.0,9,9,51.0,51,51,4.0,4,4
Arun Jaitley Stadium,Mumbai Indians,133.65999999999985,163.0,163,163,10.0,10,10,57.0,57,57,1.0,1,1
Arun Jaitley Stadium,Rajasthan Royals,194.53000000000006,146.0,146,146,5.0,5,5,79.0,79,79,0.0,0,0
Arun Jaitley Stadium,Royal Challengers Bangalore,148.0099999999997,179.0,171,187,6.0,5,7,61.0,58,64,1.5,1,2
Arun Jaitley Stadium,Sunrisers Hyderabad,141.2399999999999,161.0,131,191,3.0,1,5,56.5,51,62,0.5,0,1
Arun Jaitley Stadium,Delhi Capitals,166.67000000000002,10.0,10,10,1.0,1,1,10.0,10,10,1.0,1,1
Arun Jaitley Stadium,Kolkata Knight Riders,116.68,7.0,7,7,1.0,1,1,7.0,7,7,1.0,1,1
Barabati Stadium,Deccan Chargers,135.74000000000007,163.25,126,186,6.25,4,8,43.75,33,56,1.75,1,2
Barabati Stadium,Mumbai Indians,112.79999999999991,141.0,141,141,5.0,5,5,37.0,37,37,2.0,2,2
Barabati Stadium,Punjab Kings,153.40000000000003,190.0,149,231,6.0,4,8,43.5,38,49,2.0,2,2
Barabati Stadium,Chennai Super Kings,151.91000000000003,187.0,187,187,6.0,6,6,46.0,46,46,1.0,1,1
Barabati Stadium,Delhi Capitals,133.29999999999998,161.0,161,161,9.0,9,9,48.0,48,48,1.0,1,1
Barabati Stadium,Kolkata Knight Riders,120.63999999999987,139.66666666666666,127,150,3.3333333333333335,1,5,47.333333333333336,42,55,0.3333333333333333,0,1
Barabati Stadium,Pune Warriors,138.3999999999999,173.0,173,173,5.0,5,5,48.0,48,48,1.0,1,1
Barabati Stadium,Punjab Kings,134.4799999999999,164.0,164,164,8.0,8,8,27.0,27,27,3.0,3,3
Brabourne Stadium,Chennai Super Kings,138.60000000000005,180.0,180,180,2.0,2,2,51.0,51,51,2.0,2,2
Brabourne Stadium,Kolkata Knight Riders,122.73000000000016,155.0,155,155,3.0,3,3,41.0,41,41,0.0,0,0
Brabourne Stadium,Mumbai Indians,143.52000000000007,179.4,151,212,6.6,4,9,52.8,44,69,0.8,0,2
Brabourne Stadium,Punjab Kings,128.42000000000016,163.0,163,163,10.0,10,10,48.0,48,48,2.0,2,2
Brabourne Stadium,Rajasthan Royals,155.71999999999997,194.0,189,199,4.0,2,6,54.5,43,66,0.0,0,0
Brabourne Stadium,Sunrisers Hyderabad,159.27000000000004,201.0,201,201,4.0,4,4,56.0,56,56,1.0,1,1
Brabourne Stadium,Chennai Super Kings,149.21999999999983,176.0,176,176,3.0,3,3,60.0,60,60,0.0,0,0
Brabourne Stadium,Deccan Chargers,100.94999999999996,115.0,115,115,10.0,10,10,40.0,40,40,2.0,2,2
Brabourne Stadium,Delhi Capitals,126.58999999999986,159.5,144,175,7.0,7,7,62.0,55,69,1.5,1,2
Brabourne Stadium,Kolkata Knight Riders,142.10999999999999,190.0,190,190,9.0,9,9,53.0,53,53,2.0,2,2
Brabourne Stadium,Mumbai Indians,139.6300000000001,167.0,156,181,4.666666666666667,3,6,55.0,45,63,0.3333333333333333,0,1
Brabourne Stadium,Rajasthan Royals,163.84999999999982,201.0,194,208,7.0,7,7,37.5,36,39,2.0,2,2
Brabourne Stadium,Royal Challengers Bangalore,134.85000000000008,155.0,155,155,3.0,3,3,55.0,55,55,0.0,0,0
Buffalo Park,Chennai Super Kings,143.80000000000013,178.0,178,178,3.0,3,3,53.0,53,53,0.0,0,0
Buffalo Park,Mumbai Indians,102.96000000000008,132.0,116,148,8.0,6,10,35.0,30,40,2.5,2,3
Buffalo Park,Deccan Chargers,109.93999999999991,100.0,100,100,10.0,10,10,52.0,52,52,3.0,3,3
Buffalo Park,Delhi Capitals,100.63000000000004,118.0,118,118,3.0,3,3,36.0,36,36,0.0,0,0
