venue,opp_team,striker,strikerate_20,avg_runs_20,min_runs_20,max_runs_20,avg_wickets_20,min_wickets_20,max_wickets_20,avg_runs_6,min_runs_6,max_runs_6,avg_wickets_6,min_wickets_6,max_wickets_6
Arun Jaitley Stadium,Chennai Super Kings,AR Patel,99.99,9.0,9,9,0.0,0,0,,,,,,
Arun Jaitley Stadium,Chennai Super Kings,Abhishek Sharma,50.0,2.0,2,2,1.0,1,1,,,,,,
Arun Jaitley Stadium,Chennai Super Kings,CA Ingram,100.0,2.0,2,2,1.0,1,1,,,,,,
Arun Jaitley Stadium,Chennai Super Kings,GJ Maxwell,62.5,5.0,5,5,1.0,1,1,,,,,,
Arun Jaitley Stadium,Chennai Super Kings,HV Patel,225.0,36.0,36,36,0.0,0,0,,,,,,
Arun Jaitley Stadium,Chennai Super Kings,KMA Paul,0.0,0.0,0,0,1.0,1,1,,,,,,
Arun Jaitley Stadium,Chennai Super Kings,PP Shaw,110.81,20.5,17,24,1.0,1,1,20.5,17.0,24.0,1.0,1.0,1.0
Arun Jaitley Stadium,Chennai Super Kings,R Tewatia,122.21,11.0,11,11,0.0,0,0,,,,,,
Arun Jaitley Stadium,Chennai Super Kings,RR Pant,146.53999999999996,31.5,25,38,1.0,1,1,7.0,7.0,7.0,0.0,0.0,0.0
Arun Jaitley Stadium,Chennai Super Kings,S Dhawan,108.56,51.0,51,51,1.0,1,1,16.0,16.0,16.0,0.0,0.0,0.0
Arun Jaitley Stadium,Chennai Super Kings,SS Iyer,88.07,18.5,18,19,1.0,1,1,6.0,1.0,11.0,0.0,0.0,0.0
Arun Jaitley Stadium,Chennai Super Kings,V Shankar,119.96,36.0,36,36,0.0,0,0,,,,,,
Arun Jaitley Stadium,Delhi Capitals,AB de Villiers,159.00000000000003,44.5,17,72,0.5,0,1,5.5,1.0,10.0,0.0,0.0,0.0
Arun Jaitley Stadium,Delhi Capitals,AD Hales,140.0,14.0,14,14,1.0,1,1,14.0,14.0,14.0,1.0,1.0,1.0
Arun Jaitley Stadium,Delhi Capitals,AD Russell,171.88000000000005,55.0,44,66,2.0,2,2,4.0,4.0,4.0,1.0,1.0,1.0
Arun Jaitley Stadium,Delhi Capitals,AJ Finch,50.0,2.0,2,2,1.0,1,1,2.0,2.0,2.0,1.0,1.0,1.0
Arun Jaitley Stadium,Delhi Capitals,AJ Tye,33.33,3.0,3,3,1.0,1,1,,,,,,
Arun Jaitley Stadium,Delhi Capitals,AM Rahane,50.0,2.0,2,2,1.0,1,1,2.0,2.0,2.0,1.0,1.0,1.0
Arun Jaitley Stadium,Delhi Capitals,AT Rayudu,161.73999999999995,27.5,5,50,1.0,1,1,17.5,5.0,30.0,0.5,0.0,1.0
Arun Jaitley Stadium,Delhi Capitals,BA Stokes,33.33,1.0,1,1,1.0,1,1,,,,,,
Arun Jaitley Stadium,Delhi Capitals,BB Sran,0.0,0.0,0,0,0.0,0,0,,,,,,
Arun Jaitley Stadium,Delhi Capitals,BCJ Cutting,162.53,19.5,2,37,1.0,1,1,,,,,,
Arun Jaitley Stadium,Delhi Capitals,C de Grandhomme,60.0,3.0,3,3,0.0,0,0,,,,,,
Arun Jaitley Stadium,Delhi Capitals,CA Lynn,104.19000000000001,12.5,5,20,1.0,1,1,11.0,5.0,17.0,0.5,0.0,1.0
Arun Jaitley Stadium,Delhi Capitals,CH Gayle,186.45999999999992,69.0,69,69,1.0,1,1,32.0,32.0,32.0,0.0,0.0,0.0
Arun Jaitley Stadium,Delhi Capitals,DA Miller,132.0,16.5,7,26,1.0,1,1,4.0,4.0,4.0,0.0,0.0,0.0
Arun Jaitley Stadium,Delhi Capitals,DA Warner,55.58,10.0,10,10,1.0,1,1,6.0,6.0,6.0,0.0,0.0,0.0
Arun Jaitley Stadium,Delhi Capitals,DJ Bravo,100.0,2.5,1,4,0.5,0,1,,,,,,
Arun Jaitley Stadium,Delhi Capitals,DJ Hooda,90.9,10.0,10,10,1.0,1,1,,,,,,
Arun Jaitley Stadium,Delhi Capitals,DJM Short,176.0,44.0,44,44,1.0,1,1,11.0,11.0,11.0,0.0,0.0,0.0
Arun Jaitley Stadium,Delhi Capitals,DL Chahar,50.0,1.0,1,1,0.0,0,0,,,,,,
Arun Jaitley Stadium,Delhi Capitals,E Lewis,149.94000000000003,48.0,48,48,1.0,1,1,38.0,38.0,38.0,0.0,0.0,0.0
Arun Jaitley Stadium,Delhi Capitals,GC Viljoen,66.67,2.0,2,2,0.0,0,0,,,,,,
Arun Jaitley Stadium,Delhi Capitals,Gurkeerat Singh,135.0,27.0,27,27,1.0,1,1,,,,,,
Arun Jaitley Stadium,Delhi Capitals,H Klaasen,100.0,3.0,3,3,1.0,1,1,,,,,,
Arun Jaitley Stadium,Delhi Capitals,HH Pandya,178.77,29.5,27,32,1.0,1,1,,,,,,
Arun Jaitley Stadium,Delhi Capitals,Harpreet Brar,142.84,20.0,20,20,0.0,0,0,,,,,,
Arun Jaitley Stadium,Delhi Capitals,IS Sodhi,49.98,6.0,6,6,1.0,1,1,,,,,,
Arun Jaitley Stadium,Delhi Capitals,Ishan Kishan,35.699999999999996,5.0,5,5,1.0,1,1,5.0,5.0,5.0,0.0,0.0,0.0
Arun Jaitley Stadium,Delhi Capitals,JC Buttler,248.07999999999993,67.0,67,67,1.0,1,1,66.0,66.0,66.0,0.0,0.0,0.0
Arun Jaitley Stadium,Delhi Capitals,JJ Bumrah,0.0,0.0,0,0,1.0,1,1,,,,,,
Arun Jaitley Stadium,Delhi Capitals,JM Bairstow,165.49999999999994,48.0,48,48,1.0,1,1,47.0,47.0,47.0,0.0,0.0,0.0
Arun Jaitley Stadium,Delhi Capitals,K Gowtham,199.98000000000002,12.0,6,18,0.5,0,1,,,,,,
Arun Jaitley Stadium,Delhi Capitals,KA Pollard,100.00999999999999,7.0,7,7,1.0,1,1,,,,,,
Arun Jaitley Stadium,Delhi Capitals,KD Karthik,123.31000000000003,34.5,18,51,1.0,1,1,3.5,1.0,6.0,0.0,0.0,0.0
Arun Jaitley Stadium,Delhi Capitals,KH Pandya,128.05,20.5,4,37,0.5,0,1,,,,,,
Arun Jaitley Stadium,Delhi Capitals,KK Nair,103.02000000000002,34.0,34,34,1.0,1,1,6.0,6.0,6.0,0.0,0.0,0.0
Arun Jaitley Stadium,Delhi Capitals,KL Rahul,145.87,17.5,12,23,1.0,1,1,17.5,12.0,23.0,1.0,1.0,1.0
Arun Jaitley Stadium,Delhi Capitals,KM Jadhav,79.37999999999998,27.0,27,27,1.0,1,1,,,,,,
Arun Jaitley Stadium,Delhi Capitals,KS Williamson,156.67999999999992,83.0,83,83,0.0,0,0,14.0,14.0,14.0,0.0,0.0,0.0
Arun Jaitley Stadium,Delhi Capitals,Kuldeep Yadav,141.66,8.5,7,10,0.0,0,0,,,,,,
Arun Jaitley Stadium,Delhi Capitals,LS Livingstone,107.67999999999999,14.0,14,14,1.0,1,1,14.0,14.0,14.0,1.0,1.0,1.0
Arun Jaitley Stadium,Delhi Capitals,M Markande,27.27,3.0,3,3,1.0,1,1,,,,,,
Arun Jaitley Stadium,Delhi Capitals,MA Agarwal,92.0,11.5,2,21,1.0,1,1,10.5,2.0,19.0,0.5,0.0,1.0
Arun Jaitley Stadium,Delhi Capitals,MG Johnson,200.02000000000004,12.0,12,12,0.0,0,0,,,,,,
Arun Jaitley Stadium,Delhi Capitals,MK Lomror,266.66,8.0,8,8,1.0,1,1,8.0,8.0,8.0,1.0,1.0,1.0
Arun Jaitley Stadium,Delhi Capitals,MK Pandey,76.89999999999999,10.0,10,10,1.0,1,1,,,,,,
Arun Jaitley Stadium,Delhi Capitals,MM Ali,33.33,1.0,1,1,1.0,1,1,1.0,1.0,1.0,1.0,1.0,1.0
Arun Jaitley Stadium,Delhi Capitals,MP Stoinis,128.0,32.0,32,32,0.0,0,0,,,,,,
Arun Jaitley Stadium,Delhi Capitals,MS Dhoni,82.94000000000001,24.5,17,32,0.5,0,1,,,,,,
Arun Jaitley Stadium,Delhi Capitals,Mandeep Singh,104.89999999999998,21.5,13,30,1.0,1,1,,,,,,
