venue,bowling_team,batsmen,strikerate_20,avg_runs_20,min_runs_20,max_runs_20,avg_wickets_20,min_wickets_20,max_wickets_20,avg_runs_6,min_runs_6,max_runs_6,avg_wickets_6,min_wickets_6,max_wickets_6
Arun Jaitley Stadium,Chennai Super Kings,AR Patel,99.99,9,9,9,0,0,0,,,,,,
Arun Jaitley Stadium,Chennai Super Kings,Abhishek Sharma,50,2,2,2,1,1,1,,,,,,
Arun Jaitley Stadium,Chennai Super Kings,CA Ingram,100,2,2,2,1,1,1,,,,,,
Arun Jaitley Stadium,Chennai Super Kings,GJ Maxwell,62.5,5,5,5,1,1,1,,,,,,
Arun Jaitley Stadium,Chennai Super Kings,HV Patel,225,36,36,36,0,0,0,,,,,,
Arun Jaitley Stadium,Chennai Super Kings,KMA Paul,0,0,0,0,1,1,1,,,,,,
Arun Jaitley Stadium,Chennai Super Kings,PP Shaw,110.81,20.5,17,24,1,1,1,20.5,17,24,1,1,1
Arun Jaitley Stadium,Chennai Super Kings,R Tewatia,122.21,11,11,11,0,0,0,,,,,,
Arun Jaitley Stadium,Chennai Super Kings,RR Pant,146.54,31.5,25,38,1,1,1,7,7,7,0,0,0
Arun Jaitley Stadium,Chennai Super Kings,S Dhawan,108.56,51,51,51,1,1,1,16,16,16,0,0,0
Arun Jaitley Stadium,Chennai Super Kings,SS Iyer,88.07,18.5,18,19,1,1,1,6,1,11,0,0,0
Arun Jaitley Stadium,Chennai Super Kings,V Shankar,119.96,36,36,36,0,0,0,,,,,,
Arun Jaitley Stadium,Delhi Capitals,AB de Villiers,159,44.5,17,72,0.5,0,1,5.5,1,10,0,0,0
Arun Jaitley Stadium,Delhi Capitals,AD Hales,140,14,14,14,1,1,1,14,14,14,1,1,1
Arun Jaitley Stadium,Delhi Capitals,AD Russell,171.88,55,44,66,2,2,2,4,4,4,1,1,1
Arun Jaitley Stadium,Delhi Capitals,AJ Finch,50,2,2,2,1,1,1,2,2,2,1,1,1
Arun Jaitley Stadium,Delhi Capitals,AJ Tye,33.33,3,3,3,1,1,1,,,,,,
Arun Jaitley Stadium,Delhi Capitals,AM Rahane,50,2,2,2,1,1,1,2,2,2,1,1,1
Arun Jaitley Stadium,Delhi Capitals,AT Rayudu,161.74,27.5,5,50,1,1,1,17.5,5,30,0.5,0,1
Arun Jaitley Stadium,Delhi Capitals,BA Stokes,33.33,1,1,1,1,1,1,,,,,,
Arun Jaitley Stadium,Delhi Capitals,BB Sran,0,0,0,0,0,0,0,,,,,,
Arun Jaitley Stadium,Delhi Capitals,BCJ Cutting,162.53,19.5,2,37,1,1,1,,,,,,
Arun Jaitley Stadium,Delhi Capitals,C de Grandhomme,60,3,3,3,0,0,0,,,,,,
Arun Jaitley Stadium,Delhi Capitals,CA Lynn,104.19,12.5,5,20,1,1,1,11,5,17,0.5,0,1
