venue,batting_team,bowler,innings,avg_wickets_20,avg_runs_6,avg_wickets_6,min_wickets_6,max_wickets_6
Arun Jaitley Stadium,batting_team,A Mishra,98,2,,,,
Arun Jaitley Stadium,Chennai Super Kings,AR Patel,48,0,9,0,0,0
Arun Jaitley Stadium,Chennai Super Kings,Avesh Khan,24,0,28,0,0,0
Arun Jaitley Stadium,Chennai Super Kings,GJ Maxwell,24,0,,,,
Arun Jaitley Stadium,Chennai Super Kings,HV Patel,48,1,2,0,0,0
Arun Jaitley Stadium,Chennai Super Kings,I Sharma,36,1,32,1,1,1
Arun Jaitley Stadium,Chennai Super Kings,K Rabada,44,1,17,0,0,0
Arun Jaitley Stadium,Chennai Super Kings,KMA Paul,40,0,,,,
Arun Jaitley Stadium,Chennai Super Kings,R Tewatia,24,0,,,,
Arun Jaitley Stadium,Chennai Super Kings,S Lamichhane,48,1,2,0,0,0
Arun Jaitley Stadium,Chennai Super Kings,TA Boult,48,2,12,0,0,0
Arun Jaitley Stadium,Delhi Capitals,AD Russell,55,1,14,0,0,0
Arun Jaitley Stadium,Delhi Capitals,AJ Tye,52,2,15,1,1,1
Arun Jaitley Stadium,Delhi Capitals,AS Rajpoot,52,2,15,2,2,2
Arun Jaitley Stadium,Delhi Capitals,B Kumar,50,1.5,8.5,0.5,0,1
Arun Jaitley Stadium,Delhi Capitals,BA Stokes,20,0,,,,
Arun Jaitley Stadium,Delhi Capitals,BB Sran,54,1,18,0,0,0
Arun Jaitley Stadium,Delhi Capitals,BCJ Cutting,25,0,,,,
Arun Jaitley Stadium,Delhi Capitals,C de Grandhomme,6,0,,,,
Arun Jaitley Stadium,Delhi Capitals,DJ Bravo,52,1.5,,,,
Arun Jaitley Stadium,Delhi Capitals,DL Chahar,45,1,19,1,1,1
Arun Jaitley Stadium,Delhi Capitals,DS Kulkarni,21,1,17,1,1,1
Arun Jaitley Stadium,Delhi Capitals,GC Viljoen,50,3,11,1,1,1
Arun Jaitley Stadium,Delhi Capitals,HH Pandya,49,0.5,9,0,0,0
Arun Jaitley Stadium,Delhi Capitals,Harbhajan Singh,38,0,16,0,0,0
Arun Jaitley Stadium,Delhi Capitals,Harpreet Brar,24,0,17,0,0,0
Arun Jaitley Stadium,Delhi Capitals,IS Sodhi,38,3,17,2,2,2
Arun Jaitley Stadium,Delhi Capitals,Imran Tahir,12,1,,,,
Arun Jaitley Stadium,Delhi Capitals,J Yadav,48,0,16,0,0,0
Arun Jaitley Stadium,Delhi Capitals,JC Archer,20,1,5,0,0,0
Arun Jaitley Stadium,Delhi Capitals,JD Unadkat,24,3,15,0,0,0
Arun Jaitley Stadium,Delhi Capitals,JJ Bumrah,75,2,10.5,0.5,0,1
Arun Jaitley Stadium,Delhi Capitals,K Gowtham,60,0,8.5,0,0,0
Arun Jaitley Stadium,Delhi Capitals,KH Pandya,36,1,9,0,0,0
Arun Jaitley Stadium,Delhi Capitals,Kuldeep Yadav,60,1.5,10,0,0,0
Arun Jaitley Stadium,Delhi Capitals,L Ngidi,20,2,4,0,0,0
Arun Jaitley Stadium,Delhi Capitals,LH Ferguson,52,1,10,0,0,0
Arun Jaitley Stadium,Delhi Capitals,M Ashwin,42,0,,,,
Arun Jaitley Stadium,Delhi Capitals,M Markande,12,1,,,,
Arun Jaitley Stadium,Delhi Capitals,M Prasidh Krishna,68,1,20,1,1,1
Arun Jaitley Stadium,Delhi Capitals,MG Johnson,24,0,6,0,0,0
Arun Jaitley Stadium,Delhi Capitals,MM Ali,26,1,,,,
Arun Jaitley Stadium,Delhi Capitals,MP Stoinis,18,0,,,,
Arun Jaitley Stadium,Delhi Capitals,Mohammad Nabi,24,2,19,1,1,1
Arun Jaitley Stadium,Delhi Capitals,Mohammed Shami,48,2,13,0,0,0
Arun Jaitley Stadium,Delhi Capitals,Mohammed Siraj,24,1,,,,
Arun Jaitley Stadium,Delhi Capitals,Mujeeb Ur Rahman,48,2,,,,
Arun Jaitley Stadium,Delhi Capitals,Mustafizur Rahman,24,1,10,1,1,1
Arun Jaitley Stadium,Delhi Capitals,N Rana,12,0,,,,
Arun Jaitley Stadium,Delhi Capitals,NA Saini,24,1,11,0,0,0
Arun Jaitley Stadium,Delhi Capitals,O Thomas,12,0,13,0,0,0
Arun Jaitley Stadium,Delhi Capitals,PP Chawla,72,1,16,0.5,0,1
Arun Jaitley Stadium,Delhi Capitals,R Ashwin,88,0.5,8,0,0,0
Arun Jaitley Stadium,Delhi Capitals,R Parag,12,0,,,,
Arun Jaitley Stadium,Delhi Capitals,RA Jadeja,48,1,6,0,0,0
Arun Jaitley Stadium,Delhi Capitals,RD Chahar,52,3,10,0,0,0
Arun Jaitley Stadium,Delhi Capitals,Rashid Khan,48,1,,,,
Arun Jaitley Stadium,Delhi Capitals,S Dube,6,0,,,,
Arun Jaitley Stadium,Delhi Capitals,S Gopal,60,1.5,7.5,0,0,0
Arun Jaitley Stadium,Delhi Capitals,S Kaul,49,1,11.5,0,0,0
Arun Jaitley Stadium,Delhi Capitals,SL Malinga,50,1,10,0,0,0
Arun Jaitley Stadium,Delhi Capitals,SM Curran,48,0,11,0,0,0
Arun Jaitley Stadium,Delhi Capitals,SN Thakur,36,0.5,9,0,0,0
Arun Jaitley Stadium,Delhi Capitals,SP Narine,18,0,11,0,0,0
Arun Jaitley Stadium,Delhi Capitals,STR Binny,12,0,,,,
Arun Jaitley Stadium,Delhi Capitals,Sandeep Sharma,48,1,10,0,0,0
Arun Jaitley Stadium,Delhi Capitals,Shakib Al Hasan,24,2,5,2,2,2
Arun Jaitley Stadium,Delhi Capitals,Shivam Mavi,26,2,9,0,0,0
Arun Jaitley Stadium,Delhi Capitals,TG Southee,27,0,12,0,0,0
Arun Jaitley Stadium,Delhi Capitals,UT Yadav,43,0.5,22.5,0.5,0,1
Arun Jaitley Stadium,Delhi Capitals,VR Aaron,26,0,9,0,0,0
Arun Jaitley Stadium,Delhi Capitals,Washington Sundar,24,1,10,0,0,0
Arun Jaitley Stadium,Delhi Capitals,YS Chahal,48,2,12.5,1,0,2
Arun Jaitley Stadium,Kolkata Knight Riders,A Mishra,73,2,,,,
Arun Jaitley Stadium,Kolkata Knight Riders,Avesh Khan,50,2,12,1,1,1
Arun Jaitley Stadium,Kolkata Knight Riders,CH Morris,24,1,11,0,0,0
Arun Jaitley Stadium,Kolkata Knight Riders,GJ Maxwell,24,2,14,1,1,1
Arun Jaitley Stadium,Kolkata Knight Riders,HV Patel,26,2,6,1,1,1
Arun Jaitley Stadium,Kolkata Knight Riders,K Rabada,49,3,19,1,1,1
Arun Jaitley Stadium,Kolkata Knight Riders,LE Plunkett,48,0,6,0,0,0
Arun Jaitley Stadium,Kolkata Knight Riders,R Tewatia,12,0,,,,
Arun Jaitley Stadium,Kolkata Knight Riders,S Lamichhane,24,2,7,1,1,1
Arun Jaitley Stadium,Kolkata Knight Riders,TA Boult,52,2,19,2,2,2
Arun Jaitley Stadium,Kolkata Knight Riders,V Shankar,12,0,,,,
Arun Jaitley Stadium,Mumbai Indians,A Mishra,66,2,,,,
Arun Jaitley Stadium,Mumbai Indians,AR Patel,24,2,,,,
Arun Jaitley Stadium,Mumbai Indians,CH Morris,19,0,16,0,0,0
Arun Jaitley Stadium,Mumbai Indians,GJ Maxwell,24,0,19,0,0,0
Arun Jaitley Stadium,Mumbai Indians,HV Patel,32,3,17,0,0,0
Arun Jaitley Stadium,Mumbai Indians,I Sharma,18,0,18,0,0,0
Arun Jaitley Stadium,Mumbai Indians,K Rabada,26,2,7,0,0,0
Arun Jaitley Stadium,Mumbai Indians,KMA Paul,19,0,16,0,0,0
Arun Jaitley Stadium,Mumbai Indians,LE Plunkett,40,0,7,0,0,0
Arun Jaitley Stadium,Mumbai Indians,S Lamichhane,50,3,13,1,1,1
Arun Jaitley Stadium,Mumbai Indians,TA Boult,50,1,1,0,0,0
Arun Jaitley Stadium,Punjab Kings,A Mishra,50,0,,,,
Arun Jaitley Stadium,Punjab Kings,AR Patel,18,2,,,,
