ID,User,Tweets,fav_count,rt_count,tweet_date,Sentiment
1359815332333051905,Marcus Borba,artificial intelligence cardiac surgery covid era,0,4,2021-02-11 10:43:34,negative
1359815249071902721,Samuel Kaundo,artificial intelligence machine learn hyped industry technology really impact it join roundtable discussion wednesday february th,0,0,2021-02-11 10:43:14,negative
1359814854916386819,neel 🇮🇳,sir one politician understand importance technology artificial intelligence come big way big impact life social emotional therefore important common people,0,0,2021-02-11 10:41:40,negative
1359814697306841095,Milo Camacho,artificial intelligence plus internet thing aiot market detail research report business strategy trend regional analysis forecast aispeech ibm intel courier,0,0,2021-02-11 10:41:02,negative
1359814631527571461,ELMIT,short video special ai subject ai network watch,0,0,2021-02-11 10:40:46,positive
1359814446634385408,caroline evans,miss next week thursday february guest speaker lord paul drayson founder ceo clinical artificial intelligence company register,0,0,2021-02-11 10:40:02,negative
1359814435762798593,Research4CULT,today celebrate woman represent less researcher may generate important gender imbalance labour market read more,1,0,2021-02-11 10:40:00,positive
1359814423716786176,😷 alt - DUP,wonder artificial intelligence write news would end up,0,0,2021-02-11 10:39:57,negative
1359814383002656768,Technology & Prose,new episode week technology prose ever fascinate gary marcus join u chat essential book reboot ai building artificial intelligence trust listen now,1,0,2021-02-11 10:39:47,negative
1359814183936798721,The Unlikely Techie,trust seem like last kind mysterious competitive edge,1,0,2021-02-11 10:39:00,positive
1359814077950930948,Spring Professional,artificial intelligence continue important technology trend effect life ai use help predict demand service like hospital enable authority make well decision,0,0,2021-02-11 10:38:34,negative
1359813956848779264,𝙳𝚒𝚐𝚒𝚝𝚊𝚕𝗧𝗿𝗮𝗻𝘀４𝗺💻🤖,artificial intelligence cardiac surgery covid era wiley cc,1,0,2021-02-11 10:38:06,negative
1359813866742566913,Methods,enjoy listen last month may excite know ben host podcast the machine podcast episode browse month feature look safety alignment,1,1,2021-02-11 10:37:44,positive
1359813813277773830,Scottch,one s always harrass u everyday personal data surveillance social engineering project must expose live artificial intelligence world,0,0,2021-02-11 10:37:31,negative
1359813702510383105,THE BOT,use artificial intelligence write article happen,0,0,2021-02-11 10:37:05,negative
1359813687981268993,Tectra Technologies LLC,amaze artificial intelligence revision look five year wdata,1,1,2021-02-11 10:37:01,negative
