ID,User,Tweets,fav_count,rt_count,tweet_date,Sentiment
1359823668453535758,Year 4,love work collaboratively create iron man menu get metallic taste bud tingle brilliant teamwork year,0,0,2021-02-11 11:16:41,positive
1359821230149423105,Balance,watch iron man like get life tony stark s even know go die like movie also,0,0,2021-02-11 11:07:00,negative
1359820749712809986,Mesabi Tribune,earlier week st louis county attorney mark rubin clear two sheriff deputy shoot kill year old man mountain iron last december rubin found deputy matt tomsich ryan smith act self defense resp,0,0,2021-02-11 11:05:05,positive
1359820680984985603,Zero Two,cheap iron man,0,0,2021-02-11 11:04:49,positive
1359820310464368640,cl8537,lebron final mvp v kobe time mvp guarantee contender basically every single season iron man kobe well,0,0,2021-02-11 11:03:20,negative
1359819544186023937,Platypus-Man,djawadi debney score iron man movie brian tyler also score assassin creed game like austin wintory do,0,0,2021-02-11 11:00:18,negative
1359819537739317248,DLP Report,september year half announcement rock n roller coaster close make way iron man transformation avenger campus construction fan say goodbye sign guest book could receive souvenir booklet,29,9,2021-02-11 11:00:16,negative
1359819091817582601,ᴮᴱ•ᴗ•⁷ (semi ia),marvel movie dvd copy iron man I disappointed,0,0,2021-02-11 10:58:30,negative
1359818944308199424,John D Kelman,chronological watch too yeah tdw best still think iron man might bad,0,0,2021-02-11 10:57:55,positive
1359818878080016385,joyce // ceo of miruhawks,white girl tiktok team iron man right hat cap civil war me block her racist goodbye,0,0,2021-02-11 10:57:39,positive
1359818672043290625,Kamina $tark ⎊,real use social medium vice versa,2,0,2021-02-11 10:56:50,positive
1359818468133068803,🚬,hollywood motherfucker dodgy nolans brother like assassin something rdj iron man epstein black book idc love nolan movie iron man hollywood corrupt would ruin everything go road,0,0,2021-02-11 10:56:01,negative
1359818342387884033,DLP Report,little release iron man coaster year concept train inadvertently make way disney presentation saw detail show building part avenger campus project mysterious boot post contractor,56,14,2021-02-11 10:55:31,negative
1359817999272742912,🥷 🧁,man iron mask matrix armageddon mission impossible day thunder,0,0,2021-02-11 10:54:09,negative
1359817922512900096,Mang0 eBooks,dissapointed lose bit go netplay zain go get confidence win iron man lead,0,0,2021-02-11 10:53:51,positive
1359816552271515648,🤍🏴‍☠️ pirate danaë 🪝🖤,seven tony star iron man marvel think tony s arc great learns grows go rich asshole superhero want well make world well place,3,0,2021-02-11 10:48:24,positive
1359816410722152450,Pam,phase ii iron man shane black,0,0,2021-02-11 10:47:51,negative
1359816032278306817,Ismat Myron Beg,kind vgc player you iron man build balance team plan everything hulk hyper offensive player never want face trick room taskmaster take team online well regardless deadpool chaotic builder play whatever want,2,0,2021-02-11 10:46:20,positive
1359815643432964099,Vision Shill,tony overcomes trauma iron man stop make many contingency suit im infinity war suit make compare avenger im ig iron legion meant approximation end become ultron,0,0,2021-02-11 10:44:48,positive
1359815200015323137,187charlesfrank,shame best creative soul hollywood go big buck currently work iron man,0,0,2021-02-11 10:43:02,positive
1359814966975623172,Suracitse,iron man mode mean die one time get achievement,0,0,2021-02-11 10:42:06,negative
1359814373246648320,eros,b way iron man wanda do relatable enhance human all comic book fan b civil war comic book much big movie like people,1,0,2021-02-11 10:39:45,positive
1359813056465948672,rkj,idk man sure make connect lyanna way everyone think rdj talk iron man,0,0,2021-02-11 10:34:31,positive
1359812371926175748,Louise,feel like bad iron man eventually get half decent,0,0,2021-02-11 10:31:48,negative
1359812254342987778,💖 Your Fave Loves and Supports You! 💖,iron man marvel universe wish good day,0,0,2021-02-11 10:31:20,positive
1359811761554087939,Brenda Wallace MP for potatoes.,happen iron man confuse new character everyone seem recognise like I would miss film,0,0,2021-02-11 10:29:22,positive
1359811337174548481,BAM,know laundry man need iron clothes make k bike man also work hour scorch sun make k say ordinary k butit s urgent always appreciate give k need it sweat,1,0,2021-02-11 10:27:41,negative
1359810524536475648,lian❈,yeonjun defend chicken iron man look offend tyunning,0,0,2021-02-11 10:24:27,negative
1359809872699686914,Alec Hernandez,dis shi new iron board the hustlas dat final score man swear dis shit ea y tryin hard,0,0,2021-02-11 10:21:52,negative
